client,company_type,company_size,company_value_million,industry
Acme Corporation,Cooperative Banking,4556,2016,Banking
Widget Industries,Motor Insurance,1729,4477,Insurance
Global Innovations Group,Retail Finance,570,254,Banking
Techtonic Solutions,Investment Banking,3861,4149,Banking
Quantum Systems Inc.,Houses,9245,1638,Mortgages
Stellar Services,Gold,3661,3689,Mortgages
OptiTech Solutions,Gold,156,1317,Mortgages
BrightWave Technologies,Money Market Funds,4602,1283,Mutual Funds
Vertex Enterprises,Home Insurance,1724,769,Insurance
Alpha Omega Labs,Equity Funds,5931,2827,Mutual Funds
EcoFusion Energy,Gold,761,3773,Mortgages
BlueSky Innovations,Houses,6251,655,Mortgages
Phoenix Ventures,Gold,5975,4739,Mortgages
SilverStar Systems,Life Insurance,800,1876,Insurance
Nexus Enterprises,National Pension Scheme NPS,3864,837,Pension Funds
Horizon Technologies,Money Market Funds,7478,2998,Mutual Funds
Sunburst Solutions,Home Insurance,5870,1726,Insurance
Omega Dynamics,National Pension Scheme NPS,2853,4385,Pension Funds
DynaCore Industries,Motor Insurance,7623,3118,Insurance
Synergy Ventures,Deferred Annuity,5363,468,Pension Funds
QuantumCraft Inc.,Life Insurance,5218,3296,Insurance
InnovateX Solutions,National Pension Scheme NPS,3506,4656,Pension Funds
Moonshot Technologies,Deferred Annuity,8229,3251,Pension Funds
Apex Innovations,Debt Funds,4389,1153,Mutual Funds
FusionWorks Group,Home Insurance,9627,3519,Insurance
