cost,roi,feedback,year,client,service
116,104,2,2010,Acme Corporation,Equity and Fixed Income
72.03592333150027,69.1356693899206,3,2011,Acme Corporation,Equity and Fixed Income
80.633577456287,106.635568136823,4,2012,Acme Corporation,Equity and Fixed Income
62.38208057970474,79.92292369863152,3,2013,Acme Corporation,Equity and Fixed Income
99.66758953161295,123.65289161263918,3,2014,Acme Corporation,Equity and Fixed Income
113.6926722093466,108.63605668250923,3,2015,Acme Corporation,Equity and Fixed Income
112.53978861587964,105.48883016067558,4,2016,Acme Corporation,Equity and Fixed Income
60.775836145927045,103.15214910123069,4,2017,Acme Corporation,Equity and Fixed Income
70.84041986655437,93.57613867518816,5,2018,Acme Corporation,Equity and Fixed Income
113.76512993496839,69.05576139197606,4,2019,Acme Corporation,Equity and Fixed Income
92.60128734999265,83.6452016657859,3,2020,Acme Corporation,Equity and Fixed Income
65.94361472946359,115.99650166608008,4,2021,Acme Corporation,Equity and Fixed Income
84.68930787006668,75.52206829018435,3,2022,Acme Corporation,Equity and Fixed Income
78.02855576723648,109.25163736243267,3,2023,Acme Corporation,Equity and Fixed Income
103,73,2,2010,Acme Corporation,Currency Management
88.31476607136229,103.5641540666634,4,2011,Acme Corporation,Currency Management
77.48813445714293,121.24530465056851,4,2012,Acme Corporation,Currency Management
72.07493605024473,80.85934948363767,4,2013,Acme Corporation,Currency Management
73.18517917781058,100.36175209750373,3,2014,Acme Corporation,Currency Management
96.12135676781118,83.84971947309093,5,2015,Acme Corporation,Currency Management
90.95405812352509,80.1535175024824,3,2016,Acme Corporation,Currency Management
115.89811276547553,75.45098819395211,3,2017,Acme Corporation,Currency Management
71.1602734574106,81.70533450819957,4,2018,Acme Corporation,Currency Management
62.59500619486025,89.28158469436391,3,2019,Acme Corporation,Currency Management
118.88884486171672,90.38932673446055,2,2020,Acme Corporation,Currency Management
64.21840444773648,94.11995825498113,2,2021,Acme Corporation,Currency Management
94.0079760632845,93.72569000971711,2,2022,Acme Corporation,Currency Management
92.4086343582176,94.39881472290452,4,2023,Acme Corporation,Currency Management
83,96,3,2010,Acme Corporation,Custody
102.19944966407199,116.92509120601159,2,2011,Acme Corporation,Custody
75.56083410548986,111.82972179484494,4,2012,Acme Corporation,Custody
93.43603208271585,97.50173241425782,5,2013,Acme Corporation,Custody
113.3425922513261,97.29437632413521,3,2014,Acme Corporation,Custody
106.8654662841636,103.66981667325439,3,2015,Acme Corporation,Custody
98.5673305782341,105.29695014809764,2,2016,Acme Corporation,Custody
62.88373004847139,108.54560636311376,4,2017,Acme Corporation,Custody
81.06104798819865,128.44882020787298,3,2018,Acme Corporation,Custody
105.29718411146047,84.94432633965693,4,2019,Acme Corporation,Custody
86.20868838245988,83.23928286867088,3,2020,Acme Corporation,Custody
91.43726026760764,99.54863581381724,5,2021,Acme Corporation,Custody
90.95969111166588,98.90529859340799,3,2022,Acme Corporation,Custody
72.84763799598267,80.13183830709222,5,2023,Acme Corporation,Custody
101,110,4,2010,Acme Corporation,Advisory Services
62.26560311621165,85.16943430976204,5,2011,Acme Corporation,Advisory Services
106.3665214470734,100.6059778427501,4,2012,Acme Corporation,Advisory Services
97.76480154628028,94.46611249823005,5,2013,Acme Corporation,Advisory Services
61.80640908908626,92.44557977290125,4,2014,Acme Corporation,Advisory Services
58.84375724952365,111.90181132047181,3,2015,Acme Corporation,Advisory Services
89.31406131850146,103.33781351411173,3,2016,Acme Corporation,Advisory Services
110.90101852461027,107.23294166609736,3,2017,Acme Corporation,Advisory Services
71.97076276701283,99.26157016041552,3,2018,Acme Corporation,Advisory Services
90.06632843300167,63.85264731667344,4,2019,Acme Corporation,Advisory Services
84.350084648197,82.4316468852955,5,2020,Acme Corporation,Advisory Services
110.55453821058924,88.68807694775036,4,2021,Acme Corporation,Advisory Services
102.65390216610622,79.79993427355481,4,2022,Acme Corporation,Advisory Services
119.14433341178535,139.76431140708974,3,2023,Acme Corporation,Advisory Services
66,76,2,2010,Widget Industries,Trade Settlements
72.91450305870168,70.47218277847763,4,2011,Widget Industries,Trade Settlements
87.48767196111868,75.18149431464384,4,2012,Widget Industries,Trade Settlements
80.91521157646507,73.47150357191084,3,2013,Widget Industries,Trade Settlements
79.65214456786757,115.09059906521529,3,2014,Widget Industries,Trade Settlements
114.85507163097513,86.35854567893313,5,2015,Widget Industries,Trade Settlements
77.48375454772773,95.50936809236458,3,2016,Widget Industries,Trade Settlements
54.45247072022691,92.09282822958433,4,2017,Widget Industries,Trade Settlements
80.0236771266652,99.26104325485586,3,2018,Widget Industries,Trade Settlements
98.86186176505694,102.5274426574596,4,2019,Widget Industries,Trade Settlements
104.47849529592703,100.99229385468976,5,2020,Widget Industries,Trade Settlements
79.91449766440239,109.75354756388248,4,2021,Widget Industries,Trade Settlements
67.23657578674526,96.80287352064383,4,2022,Widget Industries,Trade Settlements
105.55101047450101,81.0849243361206,3,2023,Widget Industries,Trade Settlements
63,93,2,2010,Widget Industries,Currency Management
111.38030885447478,101.5340041801662,4,2011,Widget Industries,Currency Management
113.37939313023617,84.86423520694987,4,2012,Widget Industries,Currency Management
109.74746440042514,80.7279433033925,3,2013,Widget Industries,Currency Management
106.94059800269179,99.97738015930966,3,2014,Widget Industries,Currency Management
60.7667786440728,96.21451490520016,4,2015,Widget Industries,Currency Management
111.84254584337137,92.96556040110227,2,2016,Widget Industries,Currency Management
95.65869715309759,71.61794500339342,2,2017,Widget Industries,Currency Management
60.64655361544439,92.45839631277545,5,2018,Widget Industries,Currency Management
89.55500443555877,117.44595189363075,4,2019,Widget Industries,Currency Management
68.63513085909544,99.04324083062073,4,2020,Widget Industries,Currency Management
105.57781200625826,112.02339062113582,4,2021,Widget Industries,Currency Management
79.375055403601,80.76602149703113,3,2022,Widget Industries,Currency Management
100.23426514867194,108.13904137224512,3,2023,Widget Industries,Currency Management
90,112,3,2010,Widget Industries,Security Finances
60.715790013903266,88.00733494697015,4,2011,Widget Industries,Security Finances
61.45497379060446,84.52543074159227,3,2012,Widget Industries,Security Finances
66.2208772299407,115.86210601708146,3,2013,Widget Industries,Security Finances
66.59318578309671,83.70331681862865,4,2014,Widget Industries,Security Finances
72.5151398163183,96.70852611990486,3,2015,Widget Industries,Security Finances
103.89232777051595,74.79726983445504,4,2016,Widget Industries,Security Finances
117.10759360098155,111.61229516888952,4,2017,Widget Industries,Security Finances
93.40280128757672,77.02184633021646,4,2018,Widget Industries,Security Finances
72.43820134159813,113.09752354848024,5,2019,Widget Industries,Security Finances
