Client id,Service id,Cost,Year,ROI,Feedback
CL001,SER011,2195.25,2020,46.449933602432225,2
CL001,SER001,2450.5,2020,48.955653035372876,3
CL001,SER005,4315.5,2021,34.45136903488753,5
CL001,SER008,4598.0,2021,16.140793638409654,1
CL001,SER002,3875.25,2021,10.969933396219083,1
CL001,SER010,3867.5,2020,47.17867142472585,2
CL001,SER007,3142.75,2022,24.606611728093498,4
CL001,SER012,3573.0,2020,26.715050332327277,2
CL001,SER009,1275.75,2022,0.6584435330763805,2
CL001,SER004,2987.0,2022,19.787313319440596,3
CL002,SER006,2150.25,2021,9.667409938709376,4
CL002,SER005,4315.5,2020,13.54885361034192,5
CL002,SER013,1836.25,2022,36.58818261065876,1
CL003,SER001,2450.5,2022,28.381079855218026,2
CL003,SER012,3573.0,2022,9.423421596435766,4
CL003,SER006,2150.25,2022,11.915819128908133,4
CL004,SER009,1275.75,2021,11.702031953874403,5
CL004,SER011,2195.25,2022,14.182787321899687,5
CL004,SER008,4598.0,2021,2.699601464439072,4
CL004,SER001,2450.5,2022,35.44313896442647,2
CL004,SER007,3142.75,2021,13.173442182529293,5
CL004,SER010,3867.5,2022,47.71319327888497,5
CL004,SER004,2987.0,2021,37.05737668510936,5
CL004,SER013,1836.25,2021,45.22849186519124,5
CL004,SER006,2150.25,2022,14.082805664535503,1
CL005,SER009,1275.75,2020,23.720027236060176,1
CL005,SER013,1836.25,2020,40.2470666971846,3
CL005,SER010,3867.5,2021,20.690185528510245,2
CL005,SER008,4598.0,2021,36.5958674368815,2
CL005,SER004,2987.0,2022,26.923814811009102,3
CL005,SER006,2150.25,2022,37.2801248345353,1
CL005,SER003,1623.75,2022,17.00620804146996,1
CL005,SER007,3142.75,2021,19.213886485137905,1
