client,service,transaction_type,activity_date,amount
Acme Corporation,Equity and Fixed Income,Cash Settlement,2019-02-21,769
Acme Corporation,Equity and Fixed Income,Onboarding,2020-05-16,238
Acme Corporation,Equity and Fixed Income,Reconciliation,2023-02-17,114
Acme Corporation,Equity and Fixed Income,Inquiry,2019-06-28,0
Acme Corporation,Equity and Fixed Income,FX Transaction,2019-03-07,40
Acme Corporation,Equity and Fixed Income,Cash Settlement,2020-03-23,248
Acme Corporation,Equity and Fixed Income,Inquiry,2022-05-17,0
Acme Corporation,Equity and Fixed Income,Trade Execution,2022-02-23,213
Acme Corporation,Equity and Fixed Income,Inquiry,2021-05-09,0
Acme Corporation,Equity and Fixed Income,Contract Termination,2021-07-08,613
Acme Corporation,Equity and Fixed Income,Onboarding,2023-07-16,900
Acme Corporation,Equity and Fixed Income,Trade Execution,2023-04-04,835
Acme Corporation,Equity and Fixed Income,Reconciliation,2022-11-30,442
Acme Corporation,Equity and Fixed Income,Contract Renewal,2020-07-23,169
Acme Corporation,Currency Management,Contract Termination,2023-04-13,354
Acme Corporation,Currency Management,Cash Settlement,2019-07-09,399
Acme Corporation,Currency Management,Cash Settlement,2021-01-05,877
Acme Corporation,Currency Management,Contract Renewal,2022-05-21,280
Acme Corporation,Currency Management,Trade Execution,2023-02-03,480
Acme Corporation,Currency Management,Inquiry,2019-09-13,0
Acme Corporation,Currency Management,FX Transaction,2019-06-11,575
Acme Corporation,Currency Management,Onboarding,2023-08-26,653
Acme Corporation,Currency Management,Contract Renewal,2022-03-28,206
Acme Corporation,Currency Management,Cash Settlement,2019-04-04,687
Acme Corporation,Currency Management,Contract Termination,2023-05-03,306
Acme Corporation,Currency Management,Cash Settlement,2023-10-18,248
Acme Corporation,Currency Management,Cash Settlement,2021-02-17,294
Acme Corporation,Currency Management,Corporate Action,2022-07-25,864
Acme Corporation,Custody,Contract Renewal,2019-11-30,389
Acme Corporation,Custody,Contract Renewal,2020-03-05,696
Acme Corporation,Custody,Onboarding,2022-12-08,969
Acme Corporation,Custody,Cash Settlement,2022-06-01,660
Acme Corporation,Custody,Reconciliation,2021-12-29,756
Acme Corporation,Custody,Contract Termination,2019-12-01,483
Acme Corporation,Custody,FX Transaction,2020-07-06,957
Acme Corporation,Custody,Inquiry,2020-03-25,0
Acme Corporation,Custody,Contract Renewal,2023-09-23,796
Acme Corporation,Custody,Trade Execution,2020-04-14,851
Acme Corporation,Custody,Trade Execution,2023-07-07,333
Acme Corporation,Custody,FX Transaction,2020-07-02,77
Acme Corporation,Custody,Contract Termination,2022-03-07,907
Acme Corporation,Custody,Contract Renewal,2020-03-11,681
Acme Corporation,Advisory Services,Corporate Action,2021-03-21,915
Acme Corporation,Advisory Services,Corporate Action,2019-10-20,281
Acme Corporation,Advisory Services,Reconciliation,2020-05-20,772
Acme Corporation,Advisory Services,Inquiry,2022-01-08,0
Acme Corporation,Advisory Services,Onboarding,2023-03-10,608
Acme Corporation,Advisory Services,FX Transaction,2022-04-10,418
Acme Corporation,Advisory Services,Contract Renewal,2020-03-25,151
Acme Corporation,Advisory Services,Inquiry,2021-10-07,0
Acme Corporation,Advisory Services,Cash Settlement,2023-03-28,58
Acme Corporation,Advisory Services,Cash Settlement,2019-11-10,652
Acme Corporation,Advisory Services,Reconciliation,2023-06-11,706
Acme Corporation,Advisory Services,FX Transaction,2022-05-06,75
Acme Corporation,Advisory Services,FX Transaction,2021-02-20,620
Acme Corporation,Advisory Services,Corporate Action,2021-12-19,267
Widget Industries,Trade Settlements,Inquiry,2023-10-29,0
Widget Industries,Trade Settlements,Trade Execution,2022-10-25,748
Widget Industries,Trade Settlements,Cash Settlement,2022-10-28,916
Widget Industries,Trade Settlements,Inquiry,2023-03-18,0
Widget Industries,Trade Settlements,Onboarding,2023-04-24,666
Widget Industries,Trade Settlements,Contract Renewal,2019-08-17,310
Widget Industries,Trade Settlements,FX Transaction,2019-11-20,474
Widget Industries,Trade Settlements,Trade Execution,2023-01-18,906
Widget Industries,Trade Settlements,Onboarding,2021-10-22,790
Widget Industries,Trade Settlements,Reconciliation,2021-11-05,944
Widget Industries,Trade Settlements,Cash Settlement,2023-11-18,650
Widget Industries,Trade Settlements,Onboarding,2023-09-20,664
Widget Industries,Trade Settlements,Inquiry,2022-06-01,0
Widget Industries,Trade Settlements,Contract Termination,2019-11-10,392
Widget Industries,Currency Management,Reconciliation,2022-01-09,986
Widget Industries,Currency Management,Inquiry,2019-01-02,0
Widget Industries,Currency Management,Contract Renewal,2021-09-27,29
Widget Industries,Currency Management,Cash Settlement,2021-01-13,909
Widget Industries,Currency Management,Onboarding,2020-05-05,69
Widget Industries,Currency Management,Contract Termination,2023-12-04,590
Widget Industries,Currency Management,Cash Settlement,2019-06-25,759
Widget Industries,Currency Management,Corporate Action,2023-07-30,80
Widget Industries,Currency Management,Inquiry,2023-04-18,0
Widget Industries,Currency Management,Reconciliation,2019-09-20,685
Widget Industries,Currency Management,Corporate Action,2022-01-30,179
Widget Industries,Currency Management,Onboarding,2021-12-16,903
Widget Industries,Currency Management,FX Transaction,2020-03-09,961
Widget Industries,Currency Management,Inquiry,2023-03-27,0
Widget Industries,Security Finances,Contract Termination,2022-12-31,329
Widget Industries,Security Finances,FX Transaction,2022-10-07,675
Widget Industries,Security Finances,Contract Renewal,2021-06-16,931
Widget Industries,Security Finances,Inquiry,2021-07-13,0
Widget Industries,Security Finances,Cash Settlement,2020-05-22,240
