client,year,service,roi,cost,feedback
Acme Corporation,2010,Equity and Fixed Income,104.0,116.0,2
Acme Corporation,2011,Equity and Fixed Income,69.1356693899206,72.03592333150027,3
Acme Corporation,2012,Equity and Fixed Income,106.635568136823,80.633577456287,4
Acme Corporation,2013,Equity and Fixed Income,79.92292369863152,62.38208057970474,3
Acme Corporation,2014,Equity and Fixed Income,123.65289161263918,99.66758953161296,3
Acme Corporation,2015,Equity and Fixed Income,108.63605668250923,113.6926722093466,3
Acme Corporation,2016,Equity and Fixed Income,105.48883016067558,112.53978861587964,4
Acme Corporation,2017,Equity and Fixed Income,103.15214910123068,60.775836145927045,4
Acme Corporation,2018,Equity and Fixed Income,93.57613867518816,70.84041986655437,5
Acme Corporation,2019,Equity and Fixed Income,69.05576139197606,113.7651299349684,4
Acme Corporation,2020,Equity and Fixed Income,83.6452016657859,92.60128734999265,3
Acme Corporation,2021,Equity and Fixed Income,115.99650166608008,65.94361472946359,4
Acme Corporation,2022,Equity and Fixed Income,75.52206829018435,84.68930787006668,3
Acme Corporation,2023,Equity and Fixed Income,109.25163736243267,78.02855576723648,3
Acme Corporation,2010,Currency Management,73.0,103.0,2
Acme Corporation,2011,Currency Management,103.5641540666634,88.31476607136229,4
Acme Corporation,2012,Currency Management,121.24530465056851,77.48813445714293,4
Acme Corporation,2013,Currency Management,80.85934948363767,72.07493605024473,4
Acme Corporation,2014,Currency Management,100.36175209750373,73.18517917781058,3
Acme Corporation,2015,Currency Management,83.84971947309093,96.12135676781118,5
Acme Corporation,2016,Currency Management,80.1535175024824,90.95405812352509,3
Acme Corporation,2017,Currency Management,75.45098819395211,115.89811276547552,3
Acme Corporation,2018,Currency Management,81.70533450819957,71.1602734574106,4
Acme Corporation,2019,Currency Management,89.28158469436391,62.59500619486025,3
Acme Corporation,2020,Currency Management,90.38932673446055,118.88884486171672,2
Acme Corporation,2021,Currency Management,94.11995825498111,64.21840444773648,2
Acme Corporation,2022,Currency Management,93.72569000971713,94.0079760632845,2
Acme Corporation,2023,Currency Management,94.39881472290452,92.4086343582176,4
Acme Corporation,2010,Custody,96.0,83.0,3
Acme Corporation,2011,Custody,116.9250912060116,102.199449664072,2
Acme Corporation,2012,Custody,111.82972179484494,75.56083410548986,4
Acme Corporation,2013,Custody,97.50173241425782,93.43603208271584,5
Acme Corporation,2014,Custody,97.2943763241352,113.3425922513261,3
Acme Corporation,2015,Custody,103.6698166732544,106.8654662841636,3
Acme Corporation,2016,Custody,105.29695014809764,98.5673305782341,2
Acme Corporation,2017,Custody,108.54560636311376,62.88373004847139,4
Acme Corporation,2018,Custody,128.44882020787298,81.06104798819865,3
Acme Corporation,2019,Custody,84.94432633965693,105.29718411146048,4
Acme Corporation,2020,Custody,83.23928286867088,86.20868838245988,3
Acme Corporation,2021,Custody,99.54863581381724,91.43726026760764,5
Acme Corporation,2022,Custody,98.905298593408,90.95969111166588,3
Acme Corporation,2023,Custody,80.13183830709222,72.84763799598267,5
Acme Corporation,2010,Advisory Services,110.0,101.0,4
Acme Corporation,2011,Advisory Services,85.16943430976204,62.26560311621165,5
Acme Corporation,2012,Advisory Services,100.6059778427501,106.3665214470734,4
Acme Corporation,2013,Advisory Services,94.46611249823005,97.76480154628028,5
Acme Corporation,2014,Advisory Services,92.44557977290124,61.80640908908626,4
Acme Corporation,2015,Advisory Services,111.9018113204718,58.84375724952365,3
Acme Corporation,2016,Advisory Services,103.33781351411172,89.31406131850146,3
Acme Corporation,2017,Advisory Services,107.23294166609736,110.90101852461028,3
Acme Corporation,2018,Advisory Services,99.26157016041552,71.97076276701283,3
Acme Corporation,2019,Advisory Services,63.85264731667344,90.06632843300167,4
Acme Corporation,2020,Advisory Services,82.4316468852955,84.350084648197,5
Acme Corporation,2021,Advisory Services,88.68807694775036,110.55453821058924,4
Acme Corporation,2022,Advisory Services,79.79993427355481,102.65390216610622,4
Acme Corporation,2023,Advisory Services,139.76431140708974,119.14433341178535,3
