client,year,service,roi,cost,feedback
Acme Corporation,2010,Security Finances,59,76.08718197302989,3
Acme Corporation,2010,Security Finances,50,54.68216096605075,1
Acme Corporation,2010,NAV Calculation,85,50,1
Acme Corporation,2010,Equity and Fixed Income,34,100,4
Acme Corporation,2010,Security Finances,2,100,3
Acme Corporation,2010,Multi Asset Class Sol,55,50,5
Acme Corporation,2010,Security Finances,46,60.65883284850338,2
Acme Corporation,2011,Security Finances,48,86.6666988325868,3
Acme Corporation,2012,Currency Management,72,95.67906664310284,2
Acme Corporation,2012,Digital Assets,94,100,1
Acme Corporation,2012,Hedge Fund Services,43,50,5
Acme Corporation,2012,NAV Calculation,66,91.4821006963279,3
Acme Corporation,2012,Advisory Services,84,100,2
Acme Corporation,2012,Currency Management,28,83.1903259446586,1
Acme Corporation,2012,NAV Calculation,78,69.03258064055893,3
Acme Corporation,2012,Digital Assets,72,100,3
Acme Corporation,2012,Security Finances,73,50,3
Acme Corporation,2012,Multi Asset Class Sol,100,74.12404419332222,5
Acme Corporation,2013,Multi Asset Class Sol,15,89.41290633955008,2
Acme Corporation,2013,NAV Calculation,63,50,5
Acme Corporation,2013,Security Finances,20,67.39040764884743,2
Acme Corporation,2013,Security Finances,81,100,1
Acme Corporation,2014,Trade Settlements,66,100,5
Acme Corporation,2014,Custody,56,83.86943362815373,1
Acme Corporation,2015,Trade Settlements,83,96.90555820057959,4
Acme Corporation,2015,Currency Management,3,93.0999298347528,2
Acme Corporation,2015,Currency Management,56,100,2
Acme Corporation,2015,Hedge Fund Services,61,100,2
Acme Corporation,2015,Advisory Services,18,100,5
Acme Corporation,2015,Currency Management,68,70.95271083107447,3
Acme Corporation,2015,Custody,1,100,4
Acme Corporation,2015,Advisory Services,48,50,1
Acme Corporation,2015,Hedge Fund Services,24,100,4
Acme Corporation,2015,Digital Assets,99,100,5
Acme Corporation,2016,Multi Asset Class Sol,73,50,1
Acme Corporation,2016,Hedge Fund Services,20,100,3
Acme Corporation,2016,Equity and Fixed Income,80,68.14015154145028,1
Acme Corporation,2016,NAV Calculation,16,50,3
